id,lon,lat,taxonomy,number,structural,contents,day,Canton,CantonGemeinde,CantonGemeindePC
0,5.966213835966539,46.152342276342424,M1_L,2.0,1799481.080686,629818,5.601277785599172,GE,GE6611,GE6611_1284
1,5.966213835966539,46.152342276342424,M3_L,32.0,24607529.576892998,8612635,91.61953186558735,GE,GE6611,GE6611_1284
2,5.966457030276178,46.14334828893131,M3_L,12.0,7302386.8160935,2555836,25.672142890663117,GE,GE6611,GE6611_1284
3,5.977707151957053,46.2064747584162,M6_L,1.0,621649.876479,217577,3.200730163199527,GE,GE6620,GE6620_1283
4,5.97794868654336,46.19748071861557,M3_L,2.0,868572.978592,304001,3.400547622399645,GE,GE6620,GE6620_1283
5,5.97794868654336,46.19748071861557,M6_L,2.0,1518836.711786,531593,2.400547622399645,GE,GE6620,GE6620_1283
6,5.978672814617702,46.17049862164932,M1_L,2.0,1156224.358615,404679,3.200730163199527,GE,GE6603,GE6603_1237
7,5.978672814617702,46.17049862164932,M3_L,9.0,4596137.292686,1608648,21.937349230930728,GE,GE6603,GE6603_1237
8,10.488595946449712,46.92195384548844,M6_M,1.0,609666.342526,213383,2.400547622399645,GR,GR3764,GR3764_7560
9,10.471342616658847,46.61633924018427,M6_L,1.0,58343.8315808,20420,0.0,GR,GR3847,GR3847_7537
